pdf_page,observed_folio,image,image_sha256,baseline_status,secure_baselines
66,,ledger-images/page-066.jpg,ca2dd2405a1259721867a026f7505d3a01602b76cc42d3181273a7c9111e24af,unsegmented,0
67,,ledger-images/page-067.jpg,0c884d2efd7755fae5154f593b90ff1dc18aabf14457996a6159d24e000cb3eb,unsegmented,0
68,,ledger-images/page-068.jpg,478c2095c5f65c68fa98fcdbc9f096df40bbe3cdad4d599a98c5b330e58333f9,unsegmented,0
69,,ledger-images/page-069.jpg,e635b6084f8481ad0d26e0da250733f27e95ee7c59bed5f6bc39d9377fe6ad8a,unsegmented,0
70,,ledger-images/page-070.jpg,e9345272862d9369ce74def36fb9404689bd6bde44b75d7debfa6642f80064fd,unsegmented,0
71,,ledger-images/page-071.jpg,e05716f0eb7e7decf77211db9617f455b9c92096101284459fb17c71c9ab9e33,unsegmented,0
72,,ledger-images/page-072.jpg,a3339129caa248771cda9023002cb061994bd0f6123c009ee9a3905b367c4cb8,unsegmented,0
73,,ledger-images/page-073.jpg,313a1161dc32e09e667334b155d079accf4ef89c742b33993e5e24fbf77269b4,unsegmented,0
74,,ledger-images/page-074.jpg,152065eb7f40b1a332555844af1bfe13e523c31ee2f6ae085001168b3fbeb349,unsegmented,0
75,,ledger-images/page-075.jpg,538c634c18eb8160b5130f83d668fe2877000e245b7c81be3409d295eedbe626,unsegmented,0
76,,ledger-images/page-076.jpg,89c664f919759c8c6b5525fb37e4047f70bf63cc988a0cb66caec73e9d3a0cef,unsegmented,0
77,,ledger-images/page-077.jpg,fb7b07355b287a5e4f8bc69761cd985626abd6f7a5bb5a894d05b5d66d141e31,unsegmented,0
78,,ledger-images/page-078.jpg,87353ed067c6878a1a3ea4ebed19fd9a62c38eac1e4a3be68f13ccbb8b103c2d,unsegmented,0
79,,ledger-images/page-079.jpg,cadda090bd4424cd817bbac6db0a8bb16887811f5cf5d274c68f0927b6c63a59,unsegmented,0
80,,ledger-images/page-080.jpg,29954a8b3578183114f448dba4083e0839cda5171cceab628f87a3502e2f263d,unsegmented,0
81,,ledger-images/page-081.jpg,a4afc86a9481c5f315ba247d51706f6e35e4d91effc1325631f76e76161749b3,unsegmented,0
82,,ledger-images/page-082.jpg,aafeef2bee00d2f20199c4517add9e5650f251cc2e0429113173a29e99b8c1fe,unsegmented,0
83,,ledger-images/page-083.jpg,33ef75bde297fe9d3f8ad068c76353ff3e8c1cf5485140894fb4028ed1566af5,unsegmented,0
84,,ledger-images/page-084.jpg,b66ec7c6ec16541d4db952d9eb5f458a6347249d7a1bef350b0ea13daa4b63ef,unsegmented,0
85,,ledger-images/page-085.jpg,aba811744841694878a9bcef74c7e193a3deb0a2bdda4b1463c2d9576572adda,unsegmented,0
86,,ledger-images/page-086.jpg,08f3e5156b6dbb875d7fbb67e56be268b567be13002ffd8c318e289a4cca5d0c,unsegmented,0
87,,ledger-images/page-087.jpg,5f874cfb052015a8cbb556d7c5202eac4da1f1ec63821b956b8188933f6f3fe3,unsegmented,0
88,,ledger-images/page-088.jpg,c21ab86558dbbbe82b8f26b45319b4ac0b7540cf1493214b4524f8e1aea3aa01,unsegmented,0
89,,ledger-images/page-089.jpg,cbdf264ab397a714a7d4030cd312f47f7165a1b07e71bd146b37267804344606,unsegmented,0
90,,ledger-images/page-090.jpg,0b44c7029831a2c49e3811afb06a63e8cc96dcc629c3d372e2bea7e916cee20b,unsegmented,0
91,,ledger-images/page-091.jpg,b43b1cdb38e8fbd96dfb9dfa43a9faf402e0a8c03852b6caf45a4a2c57c8d358,unsegmented,0
92,,ledger-images/page-092.jpg,5450aaedc22659071c9d931fc67e0c9edd137ce0a99b40ed2b5c12a118401e86,unsegmented,0
93,,ledger-images/page-093.jpg,6f10f83fff5152e2b142001e6a23b78c3526b2be4fe0d0c2a63b6faeb5e9bee1,unsegmented,0
94,,ledger-images/page-094.jpg,68711faecf5e3a9e326cc8cbbb6232aad4d8039c00d98c70eed5909d00ff5468,unsegmented,0
95,,ledger-images/page-095.jpg,038844eeb933bc3c331f542ca3fd4bf40bf8a211ec011a08be0575e885767cf7,unsegmented,0
96,,ledger-images/page-096.jpg,a759e985598a1588acec518d5e890f6324069d0116dd064c4d88b0d53c33c647,unsegmented,0
97,,ledger-images/page-097.jpg,e593eca47e93584b903066e416b7292912c9a8452f2cb1adb383541f4bdaf5e9,unsegmented,0
98,,ledger-images/page-098.jpg,6d8064f6aad106a7abd6630586b7420acce05200406aefca95709f74e4ea3745,unsegmented,0
99,,ledger-images/page-099.jpg,cbd1ad87d8250890c51149c07c13e48efdf21e9dfb086e101f800748ba062a27,unsegmented,0
100,,ledger-images/page-100.jpg,482619a5094785025a2a4efb5e74a7bb347a8a22cdc2867711f2562f15788b2a,partial-manual,24
101,,ledger-images/page-101.jpg,59a5316805657a288df056b52b9fe653f736b1f148b19871a5d34a541e87635e,unsegmented,0
102,,ledger-images/page-102.jpg,b265fca11625bff83b080dcd97c8e84081c8290703adabd9a37e26ec78372526,unsegmented,0
103,,ledger-images/page-103.jpg,6b514621c62d1e78f706c2834f9a030b16c4d7bf58234aca32b761df7a2574f1,unsegmented,0
104,,ledger-images/page-104.jpg,d4945914cfd04a29648db9d845d6f3277c180e470e993b40c23915b4c50c3eb1,unsegmented,0
105,,ledger-images/page-105.jpg,d51cc737806bacf09666e598e0dcbbecf831a60d95585357b238409175f8d501,unsegmented,0
106,,ledger-images/page-106.jpg,c810f09ebefa892cc3c08d588dd6c7f39002b719de273552ebb459d69bb0324e,unsegmented,0
107,,ledger-images/page-107.jpg,b8ee807a80595c8c2cfa0a2d41fd071e49b3fd3b91505fb4b29425a30541f04b,unsegmented,0
108,,ledger-images/page-108.jpg,fb544dd01919098f76a00de9222c44caa65e8a0e4d4e4b0bef462ae4f6b13c8a,unsegmented,0
109,,ledger-images/page-109.jpg,ff5baa454ada4ec19725c05c9603b7ec8edbd8ed6dc6870983d675c72fc03013,unsegmented,0
110,,ledger-images/page-110.jpg,cfe3bcbcdd56e3373df4dc740bd63871242c02084b8cc15283ac1ee771e0fd96,unsegmented,0
